a,a.DET:4
abilities,ability.N
ability,ability.N
able,able.ADJ
abodes,abode.N
abolition,abolition.N
abominable,abominable.ADJ
abominably,abominably.ADV
about,about.ADV
above,above.ADV
abroad,abroad.ADV
absence,absence.N
absolute,absolute.N
absolutely,absolutely.ADV
absolutes,absolute.N
abstruse,abstruse.ADJ
absurd,absurd.ADJ
absurdities,absurdity.N
absurdity,absurdity.N
academic,academic.N
academical,academical.ADJ
accelerated,accelerate.V
accept,accept.V::g1s:g1p:g2s:g2p:g3p
accepted,accept.V
accepting,accept.V
accessory,accessory.N
accident,accident.N
accidentally,accidentally.ADV
acclimatized,acclimatize.V
accompanied,accompany.V
accompaniments,accompaniment.N
accompany,accompany.V::g1s:g1p:g2s:g2p:g3p
accordance,accordance.N
according,accord.V
accordingly,accordingly.ADV
account,account.V::g1s:g1p:g2s:g2p:g3p
accounts,account.V::g3s
accumulated,accumulate.V
accumulates,accumulate.V::g3s
accumulative,accumulative.ADJ
accurate,accurate.ADJ
accurately,accurately.ADV
accusation,accusation.N
accustomed,accustom.V
achieved,achieve.V
acquaintance,acquaintance.N
acquaintances,acquaintance.N
acquainted,acquaint.V
acquire,acquire.V::g1s:g1p:g2s:g2p:g3p
acquired,acquire.V
acquiring,acquire.V
across,across.ADV
act,act.V::g1s:g1p:g2s:g2p:g3p
acting,act.V
action,action.N
active,active.N
actors,actor.N
actual,actual.ADJ
actually,actually.ADV
ad,ad.N
add,add.V::g1s:g1p:g2s:g2p:g3p
added,add.V
additional,additional.ADJ
additions,addition.N
address,address.V::g1s:g1p:g2s:g2p:g3p
addressed,address.V
addresses,address.V::g3s
adequate,adequate.ADJ
adhere,adhere.V::g1s:g1p:g2s:g2p:g3p
adieu,adieu.N
adjective,adjective.N
admiration,admiration.N
admire,admire.V::g1s:g1p:g2s:g2p:g3p
admired,admire.V
admissible,admissible.ADJ
admit,admit.V::g1s:g1p:g2s:g2p:g3p
adopted,adopt.V
adult,adult.N
adults,adult.N
advance,advance.V::g1s:g1p:g2s:g2p:g3p
advanced,advance.V
advantage,advantage.V::g1s:g1p:g2s:g2p:g3p
advantages,advantage.V::g3s
adverse,adverse.ADJ
advice,advice.N
advisable,advisable.ADJ
advise,advise.V::g1s:g1p:g2s:g2p:g3p
advised,advise.V
affair,affair.N
affairs,affair.N
affect,affect.V::g1s:g1p:g2s:g2p:g3p
affection,affection.N
affectionate,affectionate.ADJ
affectionately,affectionately.ADV
affirming,affirm.V
afflicted,afflict.V
afford,afford.V::g1s:g1p:g2s:g2p:g3p
afraid,afraid.ADJ
afresh,afresh.ADV
aftermath,aftermath.N
afternoon,afternoon.N
afterwards,afterwards.ADV
again,again.ADV
age,age.V::g1s:g1p:g2s:g2p:g3p
aged,age.V
agency,agency.N
agent,agent.N
ages,age.V::g3s
aggregate,aggregate.V::g1s:g1p:g2s:g2p:g3p
aggressive,aggressive.ADJ
aggressors,aggressor.N
aging,age.V
agitate,agitate.V::g1s:g1p:g2s:g2p:g3p
ago,ago.ADV
agreeable,agreeable.ADJ
agree,agree.V::g1s:g1p:g2s:g2p:g3p
agreed,agree.V
agrees,agree.V::g3s
ahead,ahead.ADV
aid,aid.V::g1s:g1p:g2s:g2p:g3p
air,air.V::g1s:g1p:g2s:g2p:g3p
airfield,airfield.N
alarm,alarm.V::g1s:g1p:g2s:g2p:g3p
alarming,alarm.V
alimentary,alimentary.ADJ
alive,alive.ADJ
all,all.DET
allow,allow.V::g1s:g1p:g2s:g2p:g3p
allowance,allowance.V::g1s:g1p:g2s:g2p:g3p
allowed,allow.V
allowing,allow.V
almost,almost.ADV
alone,alone.ADV
along,along.ADV
aloud,aloud.ADV
already,already.ADV
alright,alright.ADV
also,also.ADV
alter,alter.V::g1s:g1p:g2s:g2p:g3p
alteration,alteration.N
alterations,alteration.N
altered,alter.V
altering,alter.V
alternately,alternately.ADV
alternative,alternative.N
alternatives,alternative.N
altogether,altogether.ADV
alway,alway.ADV
always,always.ADV
am,ambe.V::g1s
amateur,amateur.N
ambiguities,ambiguity.N
ambiguous,ambiguous.ADJ
ambition,ambition.V::g1s:g1p:g2s:g2p:g3p
amend,amend.V::g1s:g1p:g2s:g2p:g3p
american,american.N
amount,amount.V::g1s:g1p:g2s:g2p:g3p
ample,ample.ADJ
amused,amuse.V
amusing,amuse.V
anaemia,anaemia.N
anaemic,anaemic.ADJ
analyse,analyse.V::g1s:g1p:g2s:g2p:g3p
analysed,analyse.V
analysing,analyse.V
analysis,analysis.N
an,an.DET
anatomy,anatomy.N
ancestral,ancestral.ADJ
ancient,ancient.N
ane,ane.N
angelic,angelic.ADJ
anger,anger.V::g1s:g1p:g2s:g2p:g3p
