Aar,Aar.N:m
abbau,abbauen.V#2
Abbau,Abbau.N:m
Abbildung,Abbildung.N:4sf:3sf:2sf:1sf
Abbildungen,Abbildung.N:4pf:3pf:2pf:1pf
Abbrechen,Abbrechen.N:4sn:3sn:1sn
abbrechen,abbrechen.V#2
abend,abenden.V#2
Abend,Abend.N:m
abende,abenden.V#2
Abende,Abend.N:4pm:2pm:1pm
abendlicher,abendlich.ADJ
Abendlicher,Abendliche.N
Abends,Abend.N:2sm
aber,aber.CONJS
Aber,Aber.N:n
Abfahren,Abfahren.N:4sn:3sn:1sn
abfahren,abfahren.V#2
abfahrt,abfahren.V#2
abfährt,abfahren.V#2
Abfahrt,Abfahrt.N:f
Abfalls,Abfall.N:m
abfällt,abfallen.V#2
abfärbender,abfärbend.ADJ
Abfärbender,Abfärbende.N
Abfassung,Abfassung.N:4sf:3sf:2sf:1sf
abfertigte,abfertigen.V#2
Abgeben,Abgeben.N:4sn:3sn:1sn
abgeben,abgeben.V#2
abgefaßt,abfassen.V#2
abgefragt,abfragen.V#2
abgegangen,abgehen.V#2
abgehalten,abhalten.V#2
abgehe,abgehen.V#2
Abgehen,Abgehen.N:4sn:3sn:1sn
abgehen,abgehen.V#2
abgehetzt,abhetzen.V#2
abgeholt,abholen.V#2
abgeht,abgehen.V#2
abgekriegt,abkriegen.V#2
abgelaufen,ablaufen.V#2
abgelehnt,ablehnen.V#2
abgeleitet,ableiten.V#2
abgeraten,abraten.V#2
abgereist,abreisen.V#2
abgerichtet,abrichten.V#2
abgerissen,abreißen.V#2
abgesandte,abgesandt.ADJ
Abgesandte,Abgesandte.N
abgesandtes,abgesandt.ADJ
Abgesandtes,Abgesandte.N
Abgesang,Abgesang.N:m
abgeschickt,abschicken.V#2
abgeschleppt,abgeschleppt.ADJ
abgeschlossen,abgeschlossen.ADJ
abgeschnitten,abgeschnitten.ADJ
abgeschoben,abschieben.V#2
abgeschrieben,abgeschrieben.ADJ
abgesehen,absehen.V#2
abgespannt,abspannen.V#2
abgetan,abtun.V#2
abgetragenes,abgetragen.ADJ
Abgetragenes,Abgetragene.N
abgetrennt,abtrennen.V#2
abgibt,abgeben.V#2
abgöttische,abgöttisch.ADJ
Abgöttische,Abgöttische.N
abgrenzbar,abgrenzbar.ADJ
Abgrund,Abgrund.N:m
Abhalten,Abhalten.N:4sn:3sn:1sn
abhalten,abhalten.V#2
abhanden,abhanden.CONJS
Abhandlung,Abhandlung.N:4sf:3sf:2sf:1sf
Abhandlungen,Abhandlung.N:4pf:3pf:2pf:1pf
Abhang,Abhang.N:m
Abhängigkeit,Abhängigkeit.N:4sf:3sf:2sf:1sf
abhängt,abhängen.V#2
Abiturienten,Abiturient.N:m
Abkaufen,Abkaufen.N:4sn:3sn:1sn
abkaufen,abkaufen.V#2
abkommandiert,abkommandiert.ADJ
Abkommen,Abkomme.N
abkommen,abkommen.V#2
Ablebens,Ableben.N
Ablegen,Ablegen.N:4sn:3sn:1sn
ablegen,ablegen.V#2
ablehnt,ablehnen.V#2
Ablehnung,Ablehnung.N:4sf:3sf:2sf:1sf
Ableiten,Ableiten.N:4sn:3sn:1sn
ableiten,ableiten.V#2
abmühe,abmühen.V#2
Abneigung,Abneigung.N:4sf:3sf:2sf:1sf
Abnutzung,Abnutzung.N:4sf:3sf:2sf:1sf
Abolition,Abolition.N:4sf:3sf:2sf:1sf
abonniert,abonnieren.V
Abort,Abort.N:m
Abrechnen,Abrechnen.N:4sn:3sn:1sn
abrechnen,abrechnen.V#2
Abreise,Abreise.N:f
abreise,abreisen.V#2
Abreißen,Abreißen.N:4sn:3sn:1sn
abreißen,abreißen.V#2
Abrichtung,Abrichtung.N:4sf:3sf:2sf:1sf
abriet,abraten.V#2
Absage,Absage.N:f
absage,absagen.V#2
Absagen,Absage.N:f
absagen,absagen.V#2
