Aar,Aar.N:m
Abbau,Abbau.N:m
Abbildung,Abbildung.N:f
Abbildungen,Abbildung.N:f
Abbrechen,Abbrechen.N:n
Abend,Abend.N:m
Abende,Abend.N:m
Abendlicher,Abendliche.N
Abends,Abend.N:m
Aber,Aber.N:n
Abfahren,Abfahren.N:n
Abfahrt,Abfahrt.N:f
Abfalls,Abfall.N:m
Abfassung,Abfassung.N:f
Abfärbender,Abfärbende.N
Abgeben,Abgeben.N:n
Abgehen,Abgehen.N:n
Abgesandte,Abgesandte.N
Abgesandtes,Abgesandte.N
Abgesang,Abgesang.N:m
Abgetragenes,Abgetragene.N
Abgrund,Abgrund.N:m
Abgöttische,Abgöttische.N
Abhalten,Abhalten.N:n
Abhandlung,Abhandlung.N:f
Abhandlungen,Abhandlung.N:f
Abhang,Abhang.N:m
Abhängigkeit,Abhängigkeit.N:f
Abiturienten,Abiturient.N:m
Abkaufen,Abkaufen.N:n
Abkommen,Abkomme.N
Ablebens,Ableben.N
Ablegen,Ablegen.N:n
Ablehnung,Ablehnung.N:f
Ableiten,Ableiten.N:n
Abneigung,Abneigung.N:f
Abnutzung,Abnutzung.N:f
Abolition,Abolition.N:f
Abort,Abort.N:m
Abrechnen,Abrechnen.N:n
Abreise,Abreise.N:f
Abreißen,Abreißen.N:n
Abrichtung,Abrichtung.N:f
Absage,Absage.N:f
Absagen,Absage.N:f
Absatz,Absatz.N:m
Abscheuliche,Abscheuliche.N
Abscheulichen,Abscheuliche.N
Abscheuliches,Abscheuliche.N
Abschicken,Abschicken.N:n
Abschied,Abschied.N:m
Abschieds,Abschied.N
Abschlagen,Abschlagen.N:n
Abschließen,Abschließen.N:n
Abschluss,Abschluss.N:m
Abschlusse,Abschluß.N:m
Abschluß,Abschluß.N:m
Abschneiden,Abschneiden.N:n
Abschnitt,Abschnitt.N:m
Abschrecken,Abschrecken.N:n
Abschreiben,Abschreiben.N:n
Abschrift,Abschrift.N:f
Abschriften,Abschrift.N:f
Abschwenkende,Abschwenkende.N
Abschätzen,Abschätzen.N:n
Absehbarer,Absehbare.N
Absence,Absence.N:f
Absenden,Absenden.N:n
Absender,Absender.N:m
Absicht,Absicht.N:f
Absichten,Absicht.N:f
Absolute,Absolute.N
Absoluten,Absolute.N
Absolutes,Absolute.N
Abstecher,Abstecher.N:m
Abstieg,Abstieg.N:m
Abstoßende,Abstoßende.N
Abstraktion,Abstraktion.N:f
Abstreifen,Abstreifen.N:n
Abstruse,Abstruse.N
Absätzen,Absatz.N:m
Abt,Abt.N:m
Abteilung,Abteilung.N:f
Abtragen,Abtragen.N:n
Abtransport,Abtransport.N:m
Abwarten,Abwart.N:m
Abwechslung,Abwechslung.N:f
Abweichen,Abweichen.N:n
Abweichung,Abweichung.N:f
Abwenden,Abwenden.N:n
Abwesenheit,Abwesenheit.N:f
Abzeichnen,Abzeichnen.N:n
Abzug,Abzug.N:m
Ach,Ach.N:n
Acht,Acht.N:f
Achtung,Achtung.N:f
Action,Action.N:f
Adagio,Adagio.N:n
Additions,Addition.N
Adieu,Adieu.N:n
Adress,Adresse.N
Adressat,Adressat.N:m
Adresse,Adresse.N:f
Adressen,Adresse.N
Advantage,Advantage.N:m
Advantages,Advantage.N:m:1pm
After,After.N:m
Agenden,Agende.N
Agent,Agent.N:m
Aggregate,Aggregat.N:n
Aggressive,Aggressive.N
Aggressors,Aggressor.N:m
Ahne,Ahn.N:m
Ahnen,Ahne.N
Ahnung,Ahnung.N:f
Air,Air.N:n
Akademische,Akademische.N
Akademischen,Akademische.N
Akademisches,Akademische.N
Akkreditierung,Akkreditierung.N:f
Aktion,Aktion.N:f
Aktuelle,Aktuelle.N
Akut,Akut.N:m
Akuter,Akute.N
Akzessist,Akzessist.N:m
Alarm,Alarm.N:m
Albernes,Alberne.N
Aliud,Aliud.N:n
All,All.N:n
Allegorie,Allegorie.N:f
Allergrößten,Allergrößte.N
Allerheiligen,Allerheiligen.N:n
Allerlei,Allerlei.N:n
Allgemeine,Allgemeine.N
Allgemeinen,Allgemeine.N
Allgemeiner,Allgemeine.N
Alt,Alt.N:m
Altars,Altar.N:m
Alte,Alte.N
Alten,Alte.N
Alter,Alte.N
Alteration,Alteration.N:f
Alterations,Alteration.N
Alternative,Alternative.N
Alternatives,Alternative.N
Alters,Alter.N
Altertum,Altertum.N:n
Altertums,Altertum.N
Altes,Alte.N
Aluminium,Aluminium.N
Amateur,Amateur.N:m
Ambition,Ambition.N:f
Ambo,Ambo.N:m
Amen,Amen.N:n
Amens,Amen.N
Amerika,Amerika.N:n
Amerikaner,Amerikaner.N:m:1sm:1pm
Amerikanerin,Amerikanerin.N:f
Amerikanischem,Amerikanische.N
Amerikanischen,Amerikanische.N
Amt,Amt.N:n
Amts,Amt.Nen
Analyse,Analyse.N:f
Analysieren,Analysieren.N:n
Analysis,Analysis.N:f
Anbahnen,Anbahnen.N:n
Anbetteln,Anbetteln.N:n
Anblick,Anblick.N:m
Anbringung,Anbringung.N:f
Andacht,Andacht.N:f
Andenken,Andenken.N:n
Andre,Andre.N
Andrer,Andre.N
Anempfehlen,Anempfehlen.N:n
Anerbieten,Anerbieten.N:n
Anerkennung,Anerkennung.N:f
Anfall,Anfall.N:m
Anfang,Anfang.N:m
Anfange,Anfang.N:m
Anfangen,Anfangen.N:n
Anfangs,Anfang.N:m
Anfertigen,Anfertigen.N:n
Anforderungen,Anforderung.N:f
Anfrage,Anfrage.N:f
Anfragen,Anfrage.N:f
Anfügen,Anfügen.N:n
Anführen,Anführen.N:n
Angabe,Angabe.N:f
Angaben,Angabe.N:f
Angeben,Angeben.N:n
Angebot,Angebot.N:n
Angeboten,Angebot.N:n
Angebotene,Angebotene.N
Angedenken,Angedenken.N:n
Angedeuteten,Angedeutete.N
Angegebene,Angegebene.N
Angegebenen,Angegebene.N
Angehen,Angehen.N:n
Angekündigte,Angekündigte.N
Angekündigten,Angekündigte.N
Angelegenheit,Angelegenheit.N:f
Angelegenheiten,Angelegenheit.N:f
Angenehme,Angenehme.N
Anger,Anger.N:m
Angesammelten,Angesammelte.N
Angesichts,Angesicht.N:n
Angestaute,Angestaute.N
Angestellter,Angestellte.N
Angestrichene,Angestrichene.N
Angst,Angst.N:f
Anhaben,Anhaben.N:n
Anhalt,Anhalt.N:m
Anhalten,Anhalt.N:m
Anhang,Anhang.N:m
Anheizen,Anheizen.N:n
Anhängliche,Anhängliche.N
Anhänglichen,Anhängliche.N
Anhören,Anhören.N:n
Anklang,Anklang.N:m
Anknüpfung,Anknüpfung.N:f
Ankommen,Ankommen.N:n
Ankunft,Ankunft.N:f
Ankündigung,Ankündigung.N:f
Anlage,Anlage.N:f
Anlass,Anlass.N:m
Anlasse,Anlaß.N:m
Anlaß,Anlaß.N:m
Anliegen,Anliegen.N:n
Anmuten,Anmuten.N:n
Annahme,Annahme.N:f
Annalen,Annalen.N
Annehmbaren,Annehmbare.N
Annehmen,Annehmen.N:n
Anpumpen,Anpumpen.N:n
Anregende,Anregende.N
Anregender,Anregende.N
Anregung,Anregung.N:f
Anregungen,Anregung.N:f
Anrufen,Anruf.N:m
Anschauen,Anschauen.N:n
Anschein,Anschein.N:m
Anschließen,Anschließen.N:n
Anschreiben,Anschreiben.N:n
Anschrift,Anschrift.N:f
Ansehen,Ansehen.N:n
Ansicht,Ansicht.N:f
Ansichten,Ansicht.N:f
Ansporn,Ansporn.N:m
Anspruch,Anspruch.N:m
Anspruchslosigkeit,Anspruchslosigkeit.N:f
